Ferris, Barbara/Bull, Peter
Yulin, Harris/Bacon, James
Ford, Fritz/Evans, Gene
Bell, James/Devine, Andy
Millgate, Gabby/Welker, Frank
Paterson, William/Vigran, Herb
Muthsam, Elizabeth/Kolden, Scott C.
Potter, Monica/Belle, Camilla
Adams, Jesse/Bloom, Claire
Marrone, Mark/Candy, John
Varley, Rowan/Carson, Paul
Donaldson, Carron/DiMaggio, Joe
Hartford, John/Cannon, J.D.
Berns, Wally K./Wynn, Keenan
Paluzzi, Luciana/Corcoran, Kevin
Graubner, Brigitte/Ames, Leon
Pawk, Michele/Bader, Diedrich
Pringle, Angela/Adam, Ronald
Allwyn, Astrid/Agar, John
Lockwood, Alexander/Grabowski, Norman
Koorogi, Satomi/Tajima, Reiko
Whitehead, Paxton/Welker, Frank
Barnett, Angus/Bayldon, Geoffrey
King, Duane/Baker, Diane
Dekker, Thomas)/Welker, Frank
Boddie, Aaron/Ballard, Ray
Jordan, Ted/Ames, Leon
Thatcher, Wendy/Crawley, Amos
Israel, Meir/Collier, Patience
Tygett, Jack/Darby, Kim
Jones, Charlie/Belle, Camilla
Nolan, Jeanette/Adrian, Iris
Rivero, Jorge/Backus, Jim
Rowland, Beverly/Bacall, Lauren
Fisher, Bill/Abbott, John
Rees, Llewellyn/Andrews, Harry
West, Debi Mae/Ames, Trudi
Connors, Mike/Jones, Dean
Sands, Billy/Wynn, Ed
Rowland, Steve/Best, James
Byron, Jeffrey/McEwan, Geraldine
Butler, Genevieve/Bennett, Jeff
Hart, Bill/Dunn, Liam
Pickering, Denise/Adler, Charles
King, Chris Thomas/Cannon, J.D.
Marsh, Mary/Knotts, Don
Lloyd, Michael/Cisar, George
Swann, Frank/Allister, Claud
Waters, John/Angel, Jack
Apibal, Yodying/Acosta, Rodolfo
Showalter, Max/Butala, Tony
Nardi, Tony/Hill, Arthur
Hay, Jaida/Carson, Paul
Platt, Howard/Bouchey, Willis
Cameron, Dave/Conway, Tim
Olson, Reid/DiMaggio, Joe
Malicz, Mark/Le Mesurier, John
Warden, Jack/Cavadini, Cathy
Stephens, Myra/Darby, Kim
Kato, Haruko/Welker, Frank
Eldridge, Phyllis/Ayres, Lew
Little, David/Bacon, James
De Vol, Frank/Bradford, Jim
Fenwick, Perry/Agutter, Jenny
Pavlovsky, Sol/Welker, Frank
Erickson, Bill/Dunn, Liam
Domasin, Dolores/Conn, Didi
Tinerino, Dennis/Greene, Stanley
Parry, Natasha/Bayldon, Geoffrey
Douglas, Kirk/Corby, Ellen
McKay, Allison/Andrews, Edward
Lumley, Joanna/Adam, Ronald
Doohan, Montgomery/Kaese, Jacqui
Avery, Val/Bacon, James
Fennelly, Parker/Mars, Kenneth
Stinchfield, Bertha/Irwin, Charles
Rimoldi, Adriano/Christian, Kurt
Kapp, Spencer/Carson, Paul
Earl, Ilse/Baker, Diane
Porter, Chris/Agutter, Jenny
Rome, Sydne/Adam, Ronald
White, Robertson/Fraser, Bill
Zuljan, Ralph/Bourgeois, John
Janes, Loren/Ballantine, Carl
Conway, Kevin/Abbott, John
Redgrave, Corin/Richardson, John
McAfee, Scott/Bettin, Val
Greist, Kim/Bissell, Whit
Rutherford, Margaret/Adam, Ronald
Wagner, Robert/McKennon, Dal
Guarente, Frank/Albert, Eddie
Savelyeva, Lyudmila/Cargill, Patrick
Shacket, David/Franciscus, James
Sandomirsky, Todd/Hylands, Scott
Glavitza, Erich/Craig, Michael
Cr�mieux, Henri/Boyer, Charles
Peters, Andi/Clarke, Philip L.
Thomas, Al/Bass, Alfie
Mapother, William/Belle, Camilla
Aguilar, Antonio/Baxter, Alan
Farrow, Mia/Hemmings, David
Kepa, Dion/Bakalyan, Richard
Williams, Zack/Boyne, Hazel
Arbour, France/Genest, �mile
Tal, Shmuel/Ackland, Joss
May, John/McEwan, Geraldine
Hall, Diane/Jones, Dean
Austin, Karen Elizabeth/Garber, Victor
Jones, Henry/Knotts, Don
Rae, Bettina/Ayres, Lew
Bathe, Clare Janice/Ballard, Ray
Serato, Massimo/Cargill, Patrick
Barrett, Clyde J./Ballard, Ray
Richards, Beah/Camp, Colleen
Granger, Carolyn E./Corey, Jeff
Chow, David/Colley, Don Pedro
Miller, Denny/Agutter, Jenny
Valdengo, Giuseppe/Anderson, Richard
Vint, Jesse/Auberjonois, Rene
Miles, Vera/Pickard, John
Howard Jr., Steve/Connolly, Billy
Morris, Howard/Abbott, John
Woods, Ilene/Holloway, Sterling
Wilkin, Jeremy/Bowler, Norman
Ashton, Marcia/Broderick, Matthew
James, Ralph/Welles, Orson
Dylan, Bob/Bass, Alfie
Roberts, Shawn/Bourgeois, John
Hunt, Jerry/Brannick, Dick
Wain, Roy/Beckley, Tony
Albright, Hardie/Colvig, Pinto
Stuart, Katie/Fields, Charles
Rowe, Prentiss/Alderson, John
Van Artsdalen, Charles/Baker, Diane
DeLoach, Heather/Bergman, Mary Kay
McFadden, Bob/Alexander, Jason
Luka, Jetta/Barty, Billy
Brown, Billy Aaron/Amandes, Tom
Lee, Robert/Welker, Frank
Turner, Vickery/Chandler, David
White, Myrna/Brooke, Walter
Briggs, Charlie/Funicello, Annette
Axton, Hoyt/Bavier, Frances
Ridgely, Robert/Foster, Buddy
Helton, Percy/Blanc, Mel
Malyon, Eily/Campbell, Colin
Carr, Darleen/Fiedler, John
Holmes, Stuart/Anderson, Richard
Marshall, Catherine/Delfosse, Raoul
Smith, Jacqueline Ann/Burton, John
Blyden, Larry/Boyer, Charles
Gladwin, Joe/Cowling, Brenda
Grace, Henry/McKennon, Dal
Nuyen, France/Holliman, Earl
Sutherlin, Wayne/Rickles, Don
Carpenter, Thelma/Ballard, Ray
Barnell, Ruth/Bacon, Irving
Bourvil/Brock, Stanley
Thaxter, Phyllis/Heston, Charlton
Mikita, Mori/Jaeckel, Richard
O'Brien, Mary/Barry, Ivor
Flanders, Ian Geer/Carroll, Victoria
Page, Bobbi/Atkinson, Rowan
Shield, Jim/Martin, Gary
Schmidt, Peer/Delfosse, Raoul
Haggerty, Megan/Chartoff, Melanie
Pinette, Jack/Barry, Ivor
Kyrkjeb�, Sissel)/Welker, Frank
Rosen, Ohad/Acosta, Rodolfo
Alicino, Veronica/Camp, Colleen
Luk, Jane/Bernhard, Sandra
Conn, Didi/Litis, Marti
Barrett, Sean/Chinn, Anthony
Schieske, Alfred/Browne, Roscoe Lee
Weinrib, Lennie/Ames, Trudi
Humble, Jonathan/Carson, Paul
Colonna, Jerry/Butala, Tony
Reese, Tom/Caron, Leslie
Peil Sr., Edward/Daly, Jonathon
Meyer, Emile/Almanzar, James
Lillis, Rachael/Tajima, Reiko
Magwood, Robbie/Barry, Ivor
Hiramatsu, Shoshi/Tajima, Reiko
Lovitz, Jon/Ashton, Joseph
Sharp, Matthew/Bourgeois, John
Geeves, Peter/Abraham, F. Murray
Blye, Margaret/Carruthers, Ben
Bryant, Theona/Bloom, Claire
Sully, Robert/Adam, Ronald
Dean, Isabel/Bayldon, Geoffrey
Quigley, Don/Candy, John
Wynne, Jon Ted/Curry, Tim
Eastman, George/Welles, Orson
Curtis, Ken/Gabor, Eva
Di Reda, Joe/Carney, Alan
Timuss, Sandra/Garber, Victor
Askin, Leon/Cross, Dennis
Gerstle, Frank/Amsterdam, Morey
Messmer, Albert/Dorr, Lester
White, Dan/Nakajima, Haruo
Rojo, Rub�n/Christian, Kurt
Kusatsu, Clyde/Dekker, Thomas
Saylor, Shannon/Celis, Fernando
Crandall, Brad/Howard, Rance
Pember, Ron/Battley, David
Vanston, Vicki/Burton, John
Hayne, Donald/Jones, Dean
Whelan, Gary/Broderick, Matthew
Aretsky, Bert/Barry, Ivor
London, Damian/Welker, Frank
Resnick, Stuart/Benson, Jodi
Tuck, Julia Ann/Boyne, Hazel
Wyldeck, Martin/More, Kenneth
Saxon, Hugh/Cargill, Patrick
Drake, Dolores/Bakalyan, Richard
Petrozza, Luigi/Culkin, Macaulay
Girotti, Massimo/Lee, Margaret
Chinn, Anthony/Adam, Ronald
Battle, David Wade/Ayres, Lew
Herbert, Ric/Welker, Frank
Collins, Rickey D'Shon/Welker, Frank
Kelner, Lorna/Brannick, Dick
Johnson, Jason/Carney, Alan
Crystal, Danny/Adrian, Iris
Hamlin, Faye/Amandes, Tom
Stalmaker, Charles/Baker, Diane
Hofstedt, T. Daniel/Bergman, Mary Kay
Coleman, Michael/Brannick, Dick
Flinn, John/Adrian, Iris
Argyle, Scott/Broderick, Matthew
Burnett, Russell/DiMaggio, Joe
Basham, Tom/Bloom, Claire
Lawford, William/Brannick, Dick
Craven, Elizabeth/Bayldon, Geoffrey
MacNeille, Tress/Angel, Jack
Carpenter, Sue Ann/Bell, Michael
Perrault, Georges/Abbott, John
Hastings, Bob/Conway, Tim
Bradburn, Donald/Barry, Ivor
Johnson, Petra/Ballard, Ray
Giraud, Claude/Brooke, Walter
Saad, Aziz/Alexander, Keith
Cribbins, Bernard/Fabray, Nanette
Lund, Deanna/Able, Albert
Broderick, Matthew/Doyle, David
Smidt, Christopher/DiMaggio, Joe
Bernard, Ed/Knotts, Don
Whiting, Margaret/Farrow, Mia
Harte, Nina/Chakiris, George
�tsuka, Chikao/Tajima, Reiko
Harnell, Jess/Dekker, Thomas
Masters, Jon/Atwater, Edith
Melendez, Bill/Thompson, Bill
Taylor, Vaughn/Adrian, Iris
Marcus, Ed/Wynn, Keenan
Thigpen, Lynne/Alexander, Jason
David, Mario/Modo, Michel
Movita/Baylor, Hal
Baldwin Sr., Bill/Brooke, Walter
Girardin, Ray/Almanzar, James
Smith, Alexander/Carson, Paul
Gifaldi, Sam/Brazeau, Jay
Holloway, Gwen/Dobtcheff, Vernon
Erwin, Bill/DeLuise, Dom
Clarke, Alexander/Andrews, Edward
Bloom, George/Bloom, Claire
Munson III, Warren A./Chandler, David
De Haas, Hans/Barry, Ivor
Bouchet, Barbara/Barry, Ivor
Smilie, James/McEwan, Geraldine
Thomas, Robert/Burton, John
McCaul, Neil/Fox, James
Heath, Hilary/Baskcomb, John
Chase, Alden 'Stephen'/Adam, Ronald
Hesse, Zoe Rose/Martin, Gary
Reid, Trevor/McKennon, Dal
Anderson, Bill/Keith, Brian
Vitsin, Georgi/Baskcomb, John
Hansen, Lars/Hewitt, Alan
Andersen, Curtis/Alvin, John
Bryant, Beaux/Broderick, Matthew
Swanson, Taylor/Damon, Gabriel
Carlsson, Lars/Betz, Carl
Ryder, Alfred/Bourvil
Kent, Janice/Bakalyan, Richard
Diamond, Arnold/Audley, Maxine
Berring, H. Douglas/Ballard, Ray
Roberts, Arthur/Chandler, David
Erickson, Carl M. 'Kayo'/Corey, Jeff
Gale, Eddra/Cross, Dennis
Fisher, Kyler/Bourgeois, John
Kelly, Patsy/Savage, Brad
Cox, Wally/Bakalyan, Richard
Curry, Mark/Whitaker, Johnny
Hilsdon, George/Adam, Ronald
Shevory, Meredith/Dobtcheff, Vernon
Douglas, Lawrence/Andrews, Harry
Vujisic, Pavle/Irwin, Charles
Redgrave, Vanessa/Agutter, Jenny
Warren, E. Allyn/Rathbone, Basil
Allan, George/Alderson, John
Baron, Lynda/Moulder-Brown, John
Brecher, Egon/Hytten, Olaf
O'Donohue, Ryan/Welker, Frank
Winningham, Mare/Conn, Didi
Clegg, Tom/Chinn, Anthony
Doda, Carol/Angarola, Richard
Rosen, Lance/Conn, Didi
Salve, Juleste/Barry, Ivor
Ostendorf, Josef/Alexander, Jason
Goffe, Rusty/Main, Laurie
de Havilland, Olivia/Camp, Colleen
VanScikler, John/Bell, Michael
Hale, Bobby/Gwenn, Edmund
Wiedenhoff, Randy/Ansara, Michael
Reno, Kelly/Bavier, Frances
Barton, Rodger/McKellen, Ian
Brown, Melleny/Hampshire, Keith
Wood, Thelissa/Damante-Shaw, Susan
Antrobus, David/Benfield, John
Merrill, Larry/Russell, Kurt
Berber, Ady/Bourvil
Arandjelovic, Stole/Welles, Orson
Salazar, Alvera/Chartoff, Melanie
Granger, Matthew/Bourgeois, John
Faga, Gary/Kaese, Jacqui
Batten, Peter/Beckley, Tony
Wynne, Jonathan/Collier, Patience
Goddard, Jack/Adrian, Iris
Franz, Arthur/Eyer, Richard
Jenks, Si/Boyne, Hazel
Leader, Zoe/Cumming, Alan
Nelson, Jerry/Almanzar, James
May, Brian/Welker, Frank
Belle, Camilla/Welker, Frank
Lock, Stuart/Bresslaw, Bernard
Holmes, Katie/Camp, Colleen
Morley, Robert/Jackson, Gordon
Jonsson, Folke/Chakiris, George
Hogan, Gabriel/Megill, Sheelah
Cope, Kenneth/Holt, Patrick
Shaw, Vinessa/Flower, George 'Buck'
Ruppel, Greg/Adrian, Iris
Bolden, Ronald/Best, James
Hogg, Steve/Korman, Harvey
Huntley, Raymond/Moulder-Brown, John
Bergen, Bob/Foray, June
Rafi, Milo/Ackland, Joss
Claesson, Ingemar/Browne, Roscoe Lee
Perry, Jamie/Ballard, Ray
Andrews, Julie/Collier, Patience
Albertson, Jack/Adrian, Iris
Bressler, Holly/Ayres, Lew
MacMichael, Florence/Ashley, John
Birnbaum, Amy/Tajima, Reiko
Garrett, Hank/Andrews, Julie
Kobe, Gail/Jones, Dean
Lee, Karen/Ahdar, David
Edwards, Jennifer/Felton, Verna
Kelly, Jack/Blyth, Ann
Brill, Charlie/Camp, Hamilton
Smitrovich, Bill/Bassett, William
Cunningham, Kendall/DeLuise, Dom
O'Dea, Denis/Amsterdam, Morey
Martin, Mickey/Brand, Neville
Sasthu, Adijae/Braeden, Eric
Moroff, Mike/Celis, Fernando
Howe, Linda/Darby, Kim
Ishikawa, Hiroshi/Sahara, Kenji
Donald, James/Bell, Alfred
Kubo, Akira/Satsuma, Kenpachiro
Mendenhall, Marissa/Welker, Frank
Erdman, Richard/Bakalyan, Richard
Regan, Tom/Borgnine, Ernest
Benson, Robby/Adler, Charles
Brandon, Mark/Carson, Paul
Teigen, Michael/Brazeau, Jay
Ackermann, Heide/Heston, Charlton
Moore, Candy/Morgan, Harry
Croft, Valerie/Abbott, John
Huston, Anjelica/Bluthal, John
Burdge, Hannah/DiMaggio, Joe
Mishima, Ko/Mifune, Toshir�
Hindle, Art/Bell, Michael
Akins, Rhett/Bernhard, Sandra
Neill, Justin/Bakalyan, Richard
Smith, William/Baer, Parley
Cusack, John/Bader, Diedrich
King, Basil/Almanzar, James
Elias, Christine/DiMaggio, Joe
Lassick, Sydney/Betz, Carl
Klint, John/Lawrence, Bill
Launer, S. John/McKennon, Dal
Spencer, Alec/Bakalyan, Richard
Manseau, Ulysse/Genest, �mile
Walters, Bradley/Carson, Paul
Weaver, Beau/Carradine, David
Uchiyama, Midori/Frees, Paul
Tamekloe, Harry/Alexander, Keith
Williams, Esther/Albertson, Jack
Grey, Virginia/Welker, Frank
Doyle, Major/Corey, Jeff
Harrell, Rebecca/Ballantine, Carl
Jacobsson, Sven-Erik/Chakiris, George
Jackson, Jackie/Angarola, Richard
Lupien, Tabitha/Abbott, John
Francis, Nancy/Conforti, Gino
Haynes, Lloyd/Bosley, Tom
McDowell, Malcolm/Hackett, Buddy
Mills, Mort/Green, Jane
Davis, Philip/Farrow, Mia
Bull, Richard/Carney, Alan
Ball, Alex/Bloom, Claire
Collins, Kristal/Bakalyan, Richard
Windom, William/Foray, June
Schiavelli, Vincent/Welker, Frank
Robinson, Dawn/Angel, Jack
Bigelow, Edward/Begley Jr., Ed
Babcock, Peggy/Barry, Ivor
Grennan, Ed/Ansara, Michael
Rozier, Shiva/Barry, Ivor
Broome, Marianne/Brannick, Dick
Osment, Haley Joel/Azaria, Hank
Gordon, Leona)/J�rgens, Curd
Sakall, S.Z./Best, James
Canutt, Yakima/Boyne, Hazel
Thompson, Marshall/Hewitt, Alan
Winn, Kitty/Camp, Colleen
Pohlmann, Eric/Courtney, Stella
Jentzsch, Heber/Wynn, Keenan
Paulin, Scott/Capell, Peter
MacLane, Barton/Wynn, Ed
Britt, Leo/Belle, Camilla
Wilson, Thick/Crawley, Amos
Marra, Luigi/Bourvil
Martin, Marcella/Boyne, Hazel
Pauley, Wilbur/Adler, Charles
Krall, Daamen J./Allen, Elizabeth
Lowell, Tom/Bell, Michael
Duda, John/Ballantine, Carl
Winchell, April/Adler, Charles
Travis, Mike/Brooke, Walter
Milligan, Deanna/Bernhard, Sandra
Lamour, Cherie/Jones, Dean
Persowitch, Dennis/Curry, Tim
Fisher, Shug/Dunn, Liam
Darlington, Marion/Ashley, John
Kusumi, Momoru/Nakajima, Haruo
Winebrenner, Leroy/Acosta, Rodolfo
Brunner, Phyllis/Bloom, Claire
Darmon, G�rard/Brooke, Walter
Crowell, Margaret/Damante-Shaw, Susan
Padua, Jade/Bernhard, Sandra
McLeod, Catherine/Allen, Harry
DeLeon, Jack/Clark, Roy
Noose, Ted/Russell, Kurt
Werner, Christine/Nakajima, Haruo
Baxter, George/Hewitt, Alan
Nash, Noreen/Nakajima, Haruo
Coombs, Murray/Irwin, Charles
Frank, Kevin/Bourgeois, John
Gingold, Hermione/Acosta, Rodolfo
Fletcher, Graham/Ayres, Rosalind
Goodman, George/Alexander, Keith
Lunghi, Cherie/Britt, Leo
Gillespie, Ben/Bakalyan, Richard
Johnson, Candy/Baker, Diane
Jarnac, Dorothy/Hewitt, Alan
Gough, Karen/Allen, Elizabeth
Stevens, Jeffrey/Whitaker, Johnny
Novotna, Jarmila/Anderson, Richard
Webster, Paddy/Moustache
Byington, Spring/Morgan, Harry
Jahnen, Margaret/Albert, Eddie
Hoffman, Bern/Adam, Ronald
Lawrence, Joey/Jones, James Earl
Sanches, Stacy/Auberjonois, Rene
Owen, Harriet/Allwine, Wayne
Coffey, Pablo/Hylands, Scott
Foster, Ron/Candy, John
Dana, Al/Garber, Victor
Gregory, Mary/Morgan, Harry
Robitaille, Jack/Genest, �mile
Worlock, Frederick/Irwin, Charles
Thomas, Danny/Bergen, Edgar
Goddard, Paul/Allen, Elizabeth
Mitchell, Stuart/Flynn, Joe
Rubie, Les/Duell, William
Bracken, Eddie/Baer, Parley
Trieste, Leopoldo/Bavier, Frances
Ferris, Barbara/Eggar, Samantha
Shimizu, Kaori/Ootani, Ikue
Charlton, Bill/Allen, Elizabeth
Wolf, Scott/Chandler, David
Connolly, Gerry/Angel, Jack
Adido, David/Albertson, Jack
Hayes, Charles/Shaw, Robert
Edwards, Guy/Agutter, Jenny
Davis, Sharon/Ballard, Ray
Lewis, Gary/Parfitt, Judy
Sweet, Arthur/Brannick, Dick
Mansfield, Elizabeth/Brannick, Dick
Heywood, Herbert/Allister, Claud
Leva, Scott/Bourgeois, John
Quarmby, John/Bayldon, Geoffrey
Ascott, Freddie/Bayldon, Geoffrey
Keymas, George/Rubin, Benny
Brugman, James/Carroll, Pat
Inuyama, Inuko/Daimon, Masaaki
Quan, Dionne/Rist, Robbie
Luster, Robert/Connolly, Billy
Vander Pyl, Jean/Acosta, Rodolfo
Harris, Cameron/Berry, Ken
B�hm, Karlheinz/Cumbuka, Ji-Tu
Claxton, Richard/Wynn, Keenan
Yarnell, Lorene/Hinrichsen, Niels
Jamrog, Joe/Mayeska, Ir�na
Ford, Ross/Van Patten, Dick
Lowe, Len/Bloom, Claire
Barrie, John/Benedict, William 'Billy'
Battley, David/Brannick, Dick
Mann, Corey/Cargill, Patrick
Kinsler, Jonathan/Conway, Tim
Leslie, Nan/Le Mesurier, John
Acres, Mary/Carter, John
Resnick, Stuart/Auberjonois, Rene
Kirby, Steve/Ashley, John
Motriuc, Cristian/Aris, Ben
Capodilupo, Tony/Ayres, Lew
Graham, Frank/Phipps, William
Hughes, Elizabeth/Ben-Sira, Ya'ackov
Judd, Wynonna/Welker, Frank
Deakins, Lucy/Adrian, Iris
Truex, Lizanne/Braun, Pinkas
Fong, Frances/Baer, Parley
Kennedy, John/Derryberry, Debi
Magwood, Robbie/Silvers, Phil
Burnett, T-Bone/Rickles, Don
Agawa, George/Bondi, Beulah
Bridges, Jeff/Darden, Severn
Thomas, Al/Steafel, Sheila
Tamekloe, Harry/Bowler, Norman
Lupton, John/Davis, George
Collins, Noel/Belle, Camilla
Rigg, Diana/Borgnine, Ernest
Landis, Jessie Royce/Burton, Corey
Kerr, Charles/Hallier, Lori
Geer, Ellen/Betz, Carl
Murray, Del/Welker, Frank
Nettleton, John/Carruthers, Ben
Sherwood, Ashley/Corby, Ellen
Austin, William/Colvig, Pinto
Savard, Serge A./Baer, Parley
Douglas, Lawrence/Myhers, John
Warnat, Kimberley/Adrian, Iris
Kent, Dorothea/Greenwood, Charlotte
Van Lynn, Vincent/Armstrong, R.G.
Nichol, Ruth/Andrews, Harry
Hamill, Mark/Baker, Dee Bradley
Keith, Patti Jean/Williams, Adam
Charo/Arkin, Alan
Murphy, Daniel/Pinney, Patrick
Prince, Ursula/Wynn, Ed
Evanson, Edith/Jones, Henry
Hepburn, Audrey/Scott, George C.
Mitchell, Stuart/Adrian, Iris
Green, Roger/Gough, Michael
Pockett, Christine/Craig, Michael
Argyle, Scott/Allwine, Wayne
Lang, Christa/Yniguez, Richard
Radd, Ronald/Van Dyke, Dick
Soboloff, Arnold/Allen, Patrick
Wayne, Patrick/Chevalier, Maurice
Bill, John/Welker, Frank
Winfield, Paul/Blake, Larry J.
Tamura, Takahiro/Colvig, Pinto
Woodward, Sean/Wynn, Keenan
Reiner, Tracy/Collier, Patience
Samuell, A.W./Welker, Frank
Robin, Michel/Williams, John
Chisick, Casey/Martin, Andrea
Yamane, Marlene Mitsuko/Rist, Robbie
Chinn, Anthony/Hurt, John
Dard, Janine/Bouchey, Willis
Forman, Joey/Adler, Charles
Glenn, Roy/Wylie, Adam
Shaw, Maxwell/Rooney, Mickey
Lordan, John/Faulkner, Edward
Goldstein, Marc/Baer, Parley
Nelson, Nels P./Franciscus, James
Cottonaro, Tommy/Franciscus, James
Hatten, Tom/Coogan, Keith
McDowall, Virginia/Colvig, Pinto
Federspiel, Birgitte/Barry, Ivor
Esterhazy, Bondy/Alexander, Ernie
Jung, Nathan/Ahn, Philip
San Mart�n, Conrado/Seymour, Jane
Brandenberg, Ed/Wynn, Ed
Mathews, Carmen/Andrews, Julie
Frank, Kevin/Stewart, Patrick
Crenna, Richard/Margolyes, Miriam
Montana, Lenny/Hackett, Buddy
Northup, Harry/Bergen, Bob
Rees, Llewellyn/Mason, James
Withers, Jane/Sawamura, Ikio
Painter, Jim/Adrian, Iris
Avery, Val/Dillman, Bradford
Fosse, Bob/Bergman, Mary Kay
Fark, Sixten/Butala, Tony
Messinger, Jack/Brand, Neville
Goldie, Michael/Darling, Jane
Maud, Julian/Heston, Charlton
Gerlich, Jackie/Franciscus, James
Doucette, Micheline/Bourgeois, John
Armstrong, Bridget/Burton, John
Lane, Charles/Scourby, Alexander
Niederjohn, Clark/Sully, Frank
Donner, Robert/Greig, Robert
Brooks, Alan/Allen, Mark
Thomas, Lowell/Rooney, Mickey
Stanley, Gordon)/Carradine, David
Ercoli, Linda/Butala, Tony
Rand, Rosemarie/McDowall, Roddy
Algren, Nelson/Brazzi, Rossano
Hyers, Frank/Morgan, Harry
Farrow, Mia/Brynner, Yul
Satake, Hiroyuki/McKennon, Dal
Gillick, Josephine/Mason, James
Trpin, Gregor/Osmond, Cliff
Fletcher, Dexter/Berry, Ken
Wilmer, Douglas/Mason, James
Tanner, Clay/Bloom, Claire
Keen, Geoffrey/Mason, James
Brodie, Kevin/McGiver, John
Firth, James/Angel, Jack
Aruhn, Britt-Marie/Butala, Tony
Rodriguez, Percy/Dillman, Bradford
Howard, Trevor/Feld, Fritz
Akahoshi, Fred/Bondi, Beulah
Vanaire, Jacques/Ericson, John
Bader, Terry/Bergen, Edgar
Ganibalova, Valentina/Corcoran, Kevin
Gerson, Betty Lou/Brand, Neville
Drake, Dolores/Adrian, Iris
Houk, Benjamin/Corby, Ellen
Stratton, Walter/Hinrichsen, Niels
Warde, Anthony/Cummings, Jim
Wright, Sean/Bennett, Jeff
Twaha, Ali/Bayldon, Geoffrey
Sweet, Dolph/Curry, Tim
Hawking, Isobel/Dunn, Liam
Brychta, Edita/Borgnine, Ernest
Robertson, Bruce/Holloway, Sterling
Carlsson, Lars/Berlinger, Warren
Long, Loretta/McGreevey, Michael
Swash, Joe/Wynn, Keenan
Alexander-Willis, Hope/Collier, Patience
Busey, Gary/Corey, Jeff
Egan, Richard/Welles, Orson
Harnois, Elisabeth/Silvers, Phil
Marzavan, Daniela/Aris, Ben
Stephens, Laraine/Jaffe, Sam
Kibrick, Leonard/Corey, Jeff
Terrill, Bryan J./Burton, Corey
Chiari, Walter/Brock, Stanley
Miles, Dido/Heston, Charlton
Montagnani, Renzo/Williams, John
Waters, Tom/Wayne, Patrick
Huddleston, David/Franciscus, James
McArthur, Gordon/Aris, Ben
Hart, Stan/Tajima, Reiko
Jansen, Lucas/Azaria, Hank
Lucht, Darlene/Caillou, Alan
Wilcox, Frank/Reed, David
De Vol, Frank/Garner, James
Carney, John J./Cargill, Patrick
Gwynne, Rori/Hinrichsen, Niels
Vivian, Bette/Van Dyke, Dick
Duby, Jacques/Brock, Stanley
van Vooren, Monique/Brazzi, Rossano
Lerner, Diki/Hinrichsen, Niels
Yates, Beverly/Ross, Neil
Crocker, Harry/Adam, Ronald
Serrano, Ram�n/Adrian, Iris
Fairlie, Kyle/Curry, Tim
Beniades, Ted/Ayres, Lew
Feinstein, Alan/Hackett, Buddy
Bright, Robert E./Best, James
Jory, Victor/Coleman, Bryan
Milano, Alyssa/Bill, Tony
Shad, Marion/Welker, Frank
Knorr, Freda/Sully, Frank
Sadoff, Fred/Chinn, Anthony
Scott, Brenda/Hewitt, Alan
Koziel, Joe/Franciscus, James
Gargan, Jack/Abraham, F. Murray
Davies, Rupert/Gravey, Fernand
Knatz, Nikita/Hinrichsen, Niels
Colleano, Mark/Arne, Peter
Allgood, Sara/Haggerty, Don
Poitier, Sidney/Haggerty, Don
Marvin, Lee/Dunham, Robert
Dane, Peter/Yniguez, Richard
Tacon, Gary/Mayeska, Ir�na
Robins, Dyane/Reincke, Heinz
Salsedo, Frank/Marsac, Maurice
Johnston, Justine/Culkin, Macaulay
Nelson, Portia/Blanc, Mel
Dana, Leora/Taylor, Russi
McNair, Barbara/McGiver, John
Soto, Jock/Bakalyan, Richard
Lee, Karen/Adam, Ronald
Darrell, Katrina/Abbott, John
Rogers, Michael/Adrian, Iris
Roth, Gene/Darden, Severn
Pringle, Angela/Bloom, Claire
Aretsky, Bert/Hinrichsen, Niels
Zarchen, John/Borgnine, Ernest
Hopwood, Robin/Brazzi, Rossano
Gray, Carole/Van Dyke, Dick
Selman, Linda/Gwenn, Edmund
Goodman, Marco/Auberjonois, Rene
Barry-Weske, Sean/Ben-Sira, Ya'ackov
Brazeau, Jay/Palmer, Gregg
Amend, Nick/Berry, Ken
Lepeltier, Adrian/Amer, Nicolas
Pickering, Denise/Crawford, Michael
Morley, Robert/Conried, Hans
Bergerac, Jacques/Morgan, Harry
King, Cammie/Costa, Mary
Vanlancker, Simone/Bouchey, Willis
Lochner, Hannah/Candy, John
Ng Cheng Hin, Ian/Jarvis, Graham
Scargill, Karen/Anderson Jr., Michael
Piven, Byrne/Morgan, Harry
Sundberg, Clinton/Darden, Severn
Walburn, Raymond/Duncan, Sandy
Leavitt, Norman/Taylor, Russi
Ross, Joe E./MacNeille, Tress
Baker, Frank/Hackett, Buddy
Tordi, Pietro/Chevalier, Maurice
Traeger, Rick/Carroll, Pat
Stevens, Ronald 'Smokey'/Carlson, Richard
Waynesmith, Gary/Kirk, Tommy
Bufman, Zeev/Howard, Vince
Lidell, Kelli/Ayres, Lew
Roach, Bert/Best, James
French, J./Almanzar, James
Flaherty, Joe/Jarvis, Graham
Brazzi, Rossano/Welker, Frank
Kushell, Lisa/Alderson, John
Neuhaus, Paul/Boyer, Charles
